year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age
2028,high_immigration,0.311515750686577,0.367186273526579,0.312926139996701,0.00837183579014229,50.2513066902855
2029,high_immigration,0.310133752508536,0.367504787332936,0.313579142387347,0.00878231777118088,50.3159672601612
2030,high_immigration,0.308766785860204,0.367819848259585,0.314225033473055,0.00918833240715601,50.3799242953004
2031,high_immigration,0.307050385846471,0.370249704109914,0.313211782626203,0.00948812741741125,50.4064121393787
2032,high_immigration,0.305349687746675,0.372657335821681,0.312207796414592,0.00978518001705223,50.4326576377302
2033,high_immigration,0.303664456473963,0.375043064543872,0.311212948098067,0.0100795308840978,50.4586644461721
2034,high_immigration,0.301994497762944,0.377407162422649,0.310227124267417,0.0103712155469907,50.48443586925
2035,high_immigration,0.300339601374637,0.37974996254288,0.30925016803822,0.0106602680442639,50.5099742854081
2036,high_immigration,0.299204042512136,0.381945023560312,0.307919484106165,0.0109314498213868,50.5302717666333
2037,high_immigration,0.298074555761762,0.384128354621768,0.306595907563055,0.0112011820534154,50.5504606195191
2038,high_immigration,0.296951068091089,0.386300062157777,0.305279393079556,0.0114694766715781,50.5705424491667
2039,high_immigration,0.295833571102799,0.38846022655396,0.303969856599785,0.0117363457434554,50.5905168360559
2040,high_immigration,0.294721989580413,0.390608937631894,0.30266727153758,0.0120018012501134,50.6103857348563
2041,high_immigration,0.293644418805179,0.391687375214779,0.302597144976532,0.0120710610035092,50.6329557264256
2042,high_immigration,0.292571672232722,0.392760971214801,0.302527346021445,0.0121400105310313,50.655424994486
2043,high_immigration,0.291503724586868,0.393829784310589,0.302457839757746,0.0122086513447982,50.6777932645644
2044,high_immigration,0.290440529580823,0.394893816157201,0.302388669470417,0.0122769847915591,50.70006246341
2045,high_immigration,0.289382090710484,0.395953105628258,0.302319787435766,0.0123450162254916,50.7222317720074
2046,high_immigration,0.288925771090532,0.395097247225682,0.303768617666277,0.0122083640175092,50.7337317508848
2047,high_immigration,0.288473622701139,0.394249199981426,0.30520421605035,0.0120729612670851,50.7451266238524
2048,high_immigration,0.288025598294487,0.393408858136186,0.306626754678091,0.0119387888912358,50.7564175467811
2049,high_immigration,0.287581618754485,0.392576127487281,0.308036424055318,0.0118058297029172,50.7676065388872
2050,high_immigration,0.287141638950333,0.391750890900729,0.309433399782245,0.0116740703666929,50.7786950094952
2051,high_immigration,0.287784137586958,0.388843388288858,0.311774238590171,0.0115982355340133,50.8029588506324
2052,high_immigration,0.28841945633501,0.385968373196903,0.31408892268472,0.0115232477833659,50.8269514982613
2053,high_immigration,0.289047702524118,0.383125321039393,0.316377883997989,0.0114490924385001,50.8506778122163
2054,high_immigration,0.289669018557916,0.380313676145244,0.31864154698382,0.011375758313021,50.87414172239
2055,high_immigration,0.290283510328612,0.377532931163254,0.320880329151843,0.0113032293562913,50.8973475669742
2056,high_immigration,0.291266765635539,0.37517354402654,0.322230110589303,0.0113295797486182,50.9320196859302
2057,high_immigration,0.292239220425011,0.372840069318847,0.323565068788859,0.0113556414672826,50.9663111805368
2058,high_immigration,0.293201057684062,0.370532090480085,0.324885431764027,0.0113814200718253,51.0002276685355
2059,high_immigration,0.294152448631196,0.368249185343212,0.326191450126876,0.0114069158987147,51.0337754193552
2060,high_immigration,0.295093553715762,0.365990947340397,0.327483361128645,0.0114321378151963,51.0669610972017
2061,high_immigration,0.29488975166551,0.365514401593066,0.327995178189223,0.011600668552201,51.0937303708615
2062,high_immigration,0.294687829071622,0.365042256306628,0.328502272484249,0.0117676421375007,51.1202524254807
2063,high_immigration,0.294487772505042,0.364574460798758,0.329004691617933,0.0119330750782678,51.146529923256
2064,high_immigration,0.294289549481839,0.364110942141933,0.329502515455513,0.0120969929207146,51.1725667964897
2065,high_immigration,0.294093134416492,0.363651670278752,0.329995781077669,0.0122594142270876,51.1983656218806
2066,high_immigration,0.293534659867515,0.363914109633305,0.330081592422829,0.0124696380763508,51.2086088438694
2067,high_immigration,0.292980042082814,0.364174747803748,0.33016680006361,0.0126784100498281,51.2187811395341
2068,high_immigration,0.292429242080774,0.364433585849704,0.330251426799355,0.0128857452701663,51.2288834882295
2069,high_immigration,0.291882217430638,0.364690650873189,0.330335474829268,0.0130916568669057,51.2389166120414
2070,high_immigration,0.291338947814412,0.364945958965933,0.330418932180687,0.0132961610389678,51.248880547782
2071,high_immigration,0.290917364215362,0.366228553847397,0.329383539801183,0.0134705421360572,51.2407245643533
2072,high_immigration,0.290498162044465,0.367503918123591,0.328353980117673,0.0136439397142695,51.2326144631722
2073,high_immigration,0.290081308608841,0.368772113239858,0.327330215514854,0.0138163626364468,51.2245501418581
2074,high_immigration,0.289666796475984,0.370033197432927,0.326312187344496,0.0139878187465925,51.2165309067769
2075,high_immigration,0.289254608087133,0.371287232708434,0.325299842582338,0.0141583166220962,51.2085562292513
2076,high_immigration,0.289050514874763,0.372472480481869,0.324388737993873,0.0140882666494952,51.2037624674144
2077,high_immigration,0.288847770918795,0.373649920263344,0.323483631467186,0.0140186773506747,51.1990000803616
2078,high_immigration,0.288646356664029,0.374819621770503,0.32258447678311,0.013949544782358,51.1942691563404
2079,high_immigration,0.288446260673294,0.375981669653171,0.32169120395618,0.0138808657173556,51.1895692376615
2080,high_immigration,0.288247478049963,0.377136131961015,0.320803756530863,0.0138126334581578,51.1848996876639
2081,high_immigration,0.288413218929404,0.376896318966826,0.320880220408779,0.0138102416949913,51.1815739692034
2082,high_immigration,0.288577718512433,0.376658301533312,0.320956109700234,0.0138078702540207,51.1782733862588
2083,high_immigration,0.288740974575497,0.376422076308175,0.321031434346191,0.013805514770137,51.1749975368056
2084,high_immigration,0.288903018747578,0.376187612576122,0.321106190360546,0.013803178315754,51.1717460698525
2085,high_immigration,0.289063856821507,0.375954889493292,0.321180395534763,0.0138008581504377,51.1685188747705
2086,high_immigration,0.289410457101224,0.375274360585668,0.321457347311434,0.0138578350016735,51.160908218344
2087,high_immigration,0.289754389570626,0.374599061140666,0.321732172951477,0.0139143763372303,51.1533562601397
2088,high_immigration,0.290095690755911,0.373928923706644,0.322004903037404,0.0139704825000404,51.1458619934278
2089,high_immigration,0.290434388258837,0.373263903192558,0.322275545228683,0.0140261633199227,51.1384249834465
2090,high_immigration,0.290770512069365,0.372603935426874,0.322544132833849,0.0140814196699122,51.1310444344137
2091,high_immigration,0.290773704214159,0.37191730254951,0.323323215068809,0.0139857781675227,51.1419002477328
2092,high_immigration,0.290776859948253,0.371236312429297,0.324095903998899,0.0138909236235513,51.1526672266323
2093,high_immigration,0.290779988805675,0.370560904268498,0.3248622605836,0.0137968463422272,51.1633460752329
2094,high_immigration,0.290783096554764,0.369891018235496,0.325622349192769,0.0137035360169709,51.1739372451958
2095,high_immigration,0.29078618122848,0.369226559542322,0.326376275611942,0.0136109836172548,51.1844427145655
2096,high_immigration,0.290420170011509,0.36895609635169,0.327041619013531,0.0135821146232701,51.208148681697
2097,high_immigration,0.290057218643465,0.368687896731534,0.327701396762352,0.0135534878626495,51.2316563656395
2098,high_immigration,0.289697296909399,0.368421932117017,0.328355672011743,0.0135250989618409,51.2549679249269
2099,high_immigration,0.28934036281533,0.368158177911653,0.329004512561193,0.0134969467118235,51.2780857917271
2100,high_immigration,0.288986378770696,0.367896604568806,0.329647990270842,0.0134690263896574,51.3010127350482
