year,share_18_39,share_40_59,share_60_79,share_80_plus,adult_share_sum
2090,0.30947004948121853,0.2871444112443359,0.25667356160377425,0.14671197767067193,1.0000000000000007
2091,0.30936390943615105,0.2867794642927998,0.2568405612947685,0.14701606497628084,1.0000000000000002
2092,0.3092572140577516,0.2864042919328568,0.25721355504362053,0.14712493896577133,1.0000000000000002
2093,0.3090626467787013,0.28596980700185415,0.2576720704025184,0.14729547581692642,1.0000000000000002
2094,0.3086918147277419,0.28544105960190264,0.25811265125524785,0.14775447441510794,1.0000000000000004
2095,0.30807345237877126,0.2847967589517391,0.2584649224883149,0.14866486618117467,1.0
2096,0.30782812461545767,0.2846196661588029,0.25887460647397886,0.14867760275176103,1.0000000000000004
2097,0.30754453643097274,0.28441705146133556,0.2593652439699983,0.1486731681376936,1.0000000000000002
2098,0.30717574519561963,0.28416015797484634,0.2598341881110397,0.14882990871849439,1.0
2099,0.3066673286842137,0.283824897942925,0.26018127551092873,0.14932649786193208,0.9999999999999994
2100,0.30595405164629064,0.28337941467519023,0.26032707997633786,0.150339453702181,0.9999999999999998
